title,url,contributors,date,format,fulltext_url,trove_id,language,rights,pages,form,volume,parent,children
"[Atlas to Anson's Voyage round the world, 1740-1744]",https://trove.nla.gov.au/work/11753976,"Anson, George Anson, Baron, 1697-1762",1748,"Map|Map/Atlas|Government publication|Poster, chart, other|Book",https://nla.gov.au/nla.obj-542162150,nla.obj-542162150,English,No known copyright restrictions|http://rightsstatements.org/vocab/NKC/1.0/,55,Book,,,
Atlantis historici hasiani sectio III : pro illustratione doctrinae in sect. I de Idea hist. univers. polit. expositae de sumnis imperiis ... ..,https://trove.nla.gov.au/work/11754133,Homann Erben (Firm),1746,Book|Map|Map/Atlas,https://nla.gov.au/nla.obj-475817720,nla.obj-475817720,Latin,No known copyright restrictions|http://rightsstatements.org/vocab/NKC/1.0/,68,Book,,,
"Atlas coelestis / by the late Reverend Mr. John Flamsteed, Regius Professor of Astronomy at Greenwich",https://trove.nla.gov.au/work/11754343,"Flamsteed, John, 1646-1719",1729-1753,Map|Map/Atlas|Book,http://nla.gov.au/nla.obj-230764841,nla.obj-230764841,,,0,Picture,,,
"Normal : souvenir of the quarantine camp, Jubilee Oval, Adelaide, Feb. 26th - Mar. 5th, 1919",https://trove.nla.gov.au/work/11755423,,1919,Book/Illustrated|Book,http://nla.gov.au/nla.obj-52793464,nla.obj-52793464,,,26,Book,,,
"The large English atlas, or, A new set of maps of all the counties in England and Wales : drawn from the several surveys which have been hitherto published, with three general maps of England, Scotland and Ireland from the latest and best authorities / by Emanuel Bowen, Geographer to His Majesty, Thomas Kitchin, and others",https://trove.nla.gov.au/work/11760734,"Bowen, Emanuel, -1767",1785,Map|Map/Atlas|Book,http://nla.gov.au/nla.obj-230779636,nla.obj-230779636,,,0,Picture,,,
"Report of an expedition to ascertain the position of the 141st degree of east longitude being the boundary line between New South Wales & South Australia : by order of His Excellency Sir George Gipps, Knight, &c., &c., &c., Governor and Captain General of New South Wales / by C.J. Tyers",https://trove.nla.gov.au/work/11782936,"Tyers, Charles James",1840-1976,Book|Book/Illustrated,https://nla.gov.au/nla.obj-1400889402,nla.obj-1400889402,English,No known copyright restrictions|http://rightsstatements.org/vocab/NKC/1.0/,43,Book,,,
"The Oriental pilot, or, A select collection of charts and plans ... for the navigation of the country trade in the seas beyond the Cape of Good Hope ... ... drawn chiefly from the last edition of the Neptune oriental of Mons. d'Apres de Mannevillette with important additions ... extracted from numerous journals of the Honourable the English East India Company ... ..",https://trove.nla.gov.au/work/11788850,Robert Sayer and John Bennett (Firm),1778,Map|Map/Atlas|Book,http://nla.gov.au/nla.obj-230799977,nla.obj-230799977,,,0,Picture,,,
"A mountain of gold : (illustrated) : origin, history, geological features, latest developments, etc., of the famous Mount Morgan mine : with a complete description of the chlorination process and new machinery : and estimates of value and permanence / by Wm. H. Dick",https://trove.nla.gov.au/work/11793097,"Dick, William H",1889,Book|Book/Illustrated,https://nla.gov.au/nla.obj-393503612,nla.obj-393503612,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,84,Book,,,
The invasion / by W.H. Walker,https://trove.nla.gov.au/work/11793252,"Walker, W. H",1877,Book,https://nla.gov.au/nla.obj-2347882740,nla.obj-2347882740,English,No known copyright restrictions|http://rightsstatements.org/vocab/NKC/1.0/,164,Book,,,
The cat : its history and diseases / by Lady Cust,https://trove.nla.gov.au/work/11793505,"Cust, Mary Anne, Lady",1856,Book,http://nla.gov.au/nla.obj-501908322,nla.obj-501908322,English,No known copyright restrictions|http://rightsstatements.org/vocab/NKC/1.0/,34,Book,,,
